columns,kernel,gamma,cost,error,dispersion,degree
all,linear,0,0.001,0.2380639097744361,0.05065842107056326,NA
all,linear,0,0.01,0.22578320802005014,0.06617556050783752,NA
all,linear,0,0.1,0.2256578947368421,0.06519537386310324,NA
all,linear,0,1,0.22393483709273185,0.07124861911887093,NA
all,linear,0,10,0.23458646616541354,0.07347614464010473,NA
all,radial,0.001,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,0.01,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,0.1,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,1,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,10,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,100,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,1000,0.01,0.4494674185463659,0.048195193394411015,NA
all,radial,0.001,0.1,0.31798245614035087,0.06035634060946132,NA
all,radial,0.01,0.1,0.2450814536340852,0.05317044600069211,NA
all,radial,0.1,0.1,0.4494674185463659,0.048195193394411015,NA
all,radial,1,0.1,0.4494674185463659,0.048195193394411015,NA
all,radial,10,0.1,0.4494674185463659,0.048195193394411015,NA
all,radial,100,0.1,0.4494674185463659,0.048195193394411015,NA
all,radial,1000,0.1,0.4494674185463659,0.048195193394411015,NA
all,radial,0.001,1,0.2255639097744361,0.045841754113012355,NA
all,radial,0.01,1,0.20773809523809525,0.04398861425002923,NA
all,radial,0.1,1,0.325031328320802,0.05240529862147137,NA
all,radial,1,1,0.4211152882205514,0.048793081603206466,NA
all,radial,10,1,0.43530701754385964,0.043333421211992566,NA
all,radial,100,1,0.4423872180451128,0.04788292401275897,NA
all,radial,1000,1,0.4423872180451128,0.04788292401275897,NA
all,radial,0.001,10,0.21641604010025062,0.06787944218050845,NA
all,radial,0.01,10,0.23953634085213033,0.06061743589228792,NA
all,radial,0.1,10,0.32139724310776946,0.055395040836501576,NA
all,radial,1,10,0.4175125313283208,0.047682680830661454,NA
