KUK_ID,FileName,FileFormat,FolderPath,subcorpus,SourceDB,SourceID,DocumentTitle,ClarityPursuit,Readability,SyllogismBased,DocumentVersion,ParentDocumentID,LegalActType,Objectivity,Bindingness,AuthorType,RecipientType,RecipientIndividuation,Anonymized,Recipient Type,class
673b7a37c6537d54ff062b8c,002_Komunalni-odpad,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a37c6537d54ff062b8f,006_Chci ZMĚNIT DŮCHOD - V. 21,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,good
673b7a37c6537d54ff062b8e,004_Nevyplaceni-mzdy,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a37c6537d54ff062b90,008_Policie,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,medium,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a37c6537d54ff062b93,005_Ochrana-spotrebitele,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a37c6537d54ff062b98,016_Obcane-EU,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a37c6537d54ff062b99,019_Dětský domov (rodiče) - V. 20,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,good
673b7a37c6537d54ff062b97,007_DŮCHODOVÉ pojištění - příspěvkové doby - I. 23,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,good
673b7a37c6537d54ff062ba3,024_Opatrovnictvi,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a37c6537d54ff062ba9,047_Davky-pro-osoby-se-zdravotnim-postizenim,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a38c6537d54ff062baf,042_BYDLENÍ - X. 23,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,good
673b7a38c6537d54ff062bb4,017_Domaci-nasili,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a38c6537d54ff062bb3,043_Plisen-a-zavady-v-byte,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a38c6537d54ff062bb0,040_Hluk - VI. 20,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,good
673b7a38c6537d54ff062bb7,035_Hluk,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a38c6537d54ff062bb9,033_Davky-pomoci-v-hmotne-nouzi,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a38c6537d54ff062bbb,050_Oddluzeni,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,low,false,Original,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,bad
673b7a38c6537d54ff062bd5,058_DĚTI mezi rodiči - IV. 21,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,NA,normative,quasiobjective,FALSE,authority,natural person,public,No,NA,good
66082017c6537d54ff05e159,ockovani-1_kusv,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,66082017c6537d54ff05e15f,individual,quasiobjective,FALSE,authority,combined,public,On-site anonymization,NA,good
66082017c6537d54ff05e15a,stavarska-1_kusv,TXT,data/KUKY/TXT,KUKY,SourceDB,NA,NA,NA,high,false,Redesign,66082017c6537d54ff05e160,individual,quasiobjective,FALSE,authority,combined,public,On-site anonymization,NA,good
