feat_name,p_value,selected
RuleAbstractNouns,0.002064242459095281,TRUE
RuleAnaphoricReferences,0.6734066350425685,FALSE
RuleCaseRepetition.max_repetition_count,0.0644743608966726,FALSE
RuleCaseRepetition.max_repetition_count.v,0.00443098984395079,TRUE
RuleConfirmationExpressions,0.09596582996335659,FALSE
RuleDoubleAdpos,0.3162686145111508,FALSE
RuleDoubleAdpos.max_allowable_distance,1.6054576237447044e-4,TRUE
RuleDoubleAdpos.max_allowable_distance.v,2.764409678525512e-6,TRUE
RuleGPadjective,0.380975956133647,FALSE
RuleGPcoordovs,0.8379684892577559,FALSE
RuleGPdeverbaddr,0.010803400064463628,TRUE
RuleGPdeverbsubj,0.012913458868827107,TRUE
RuleGPpatbenperson,0.4078324699173832,FALSE
RuleGPpatinstr,0.378339522388154,FALSE
RuleGPwordorder,2.72866248173553e-6,TRUE
RuleInfVerbDistance,4.8855303851217436e-15,TRUE
RuleInfVerbDistance.max_distance,0.09557397426653347,FALSE
RuleInfVerbDistance.max_distance.v,0.0644390404109664,FALSE
RuleLiteraryStyle,3.900048691951403e-21,TRUE
RuleLongSentences.max_length,8.960143418945885e-31,TRUE
RuleLongSentences.max_length.v,0.7478927807170961,FALSE
RuleMultiPartVerbs,1.844444328243807e-18,TRUE
RuleMultiPartVerbs.max_distance,0.00343528461637825,TRUE
RuleMultiPartVerbs.max_distance.v,6.415608229171798e-8,TRUE
RulePassive,4.2482673863703007e-20,TRUE
RulePredAtClauseBeginning.max_order,8.305581630430924e-19,TRUE
RulePredAtClauseBeginning.max_order.v,2.342714384081971e-12,TRUE
RulePredObjDistance,3.0334659097603777e-4,TRUE
RulePredObjDistance.max_distance,7.48005290848751e-5,TRUE
RulePredObjDistance.max_distance.v,3.0997084306884377e-7,TRUE
RulePredSubjDistance,1.7107267420014037e-14,TRUE
RulePredSubjDistance.max_distance,8.585775288272735e-5,TRUE
RulePredSubjDistance.max_distance.v,2.1101881871980757e-14,TRUE
RuleRedundantExpressions,0.010332560256089574,TRUE
RuleReflexivePassWithAnimSubj,0.04994864267359055,TRUE
RuleRelativisticExpressions,0.0019948186120632323,TRUE
RuleTooFewVerbs.min_verb_frac,3.3320708826796147e-34,TRUE
RuleTooFewVerbs.min_verb_frac.v,8.791201188880777e-6,TRUE
RuleTooLongExpressions,0.3262694454621589,FALSE
RuleTooManyNegations.max_allowable_negations,3.2338387671196927e-13,TRUE
RuleTooManyNegations.max_allowable_negations.v,7.755196231567556e-7,TRUE
RuleTooManyNegations.max_negation_frac,3.1304462893765765e-7,TRUE
RuleTooManyNegations.max_negation_frac.v,0.034182084281352644,TRUE
RuleTooManyNominalConstructions.max_allowable_nouns,5.837513482358409e-25,TRUE
RuleTooManyNominalConstructions.max_allowable_nouns.v,6.678315044425914e-15,TRUE
RuleTooManyNominalConstructions.max_noun_frac,0.7971733741110402,FALSE
RuleTooManyNominalConstructions.max_noun_frac.v,3.91005066152738e-6,TRUE
RuleVerbalNouns,9.113284672772416e-5,TRUE
RuleWeakMeaningWords,0.04168952283361211,TRUE
activity,2.9449125407625453e-34,TRUE
ari,5.506543271044049e-32,TRUE
atl,7.606195755419514e-22,TRUE
cli,2.7067968965796877e-11,TRUE
entropy,3.5359098305870905e-9,TRUE
fkgl,1.4947688993411527e-28,TRUE
fre,2.60707590180101e-11,TRUE
gf,9.54084702337553e-33,TRUE
hpoint,9.62734594652435e-5,TRUE
maentropy,1.6070138552849403e-14,TRUE
maentropy.v,0.05243930461449132,FALSE
mamr,2.1578238931335586e-27,TRUE
mattr,2.1239213506746408e-13,TRUE
mattr.v,0.8562606366048173,FALSE
num_hapax,0.010465451916799085,TRUE
sent_count,9.316739923189456e-6,TRUE
smog,3.413161053466595e-33,TRUE
ttr,0.04610524124151587,TRUE
verb_dist,6.494603030615111e-24,TRUE
word_count,1.3485775354683444e-6,TRUE
