KUK_ID,class,FileName,FolderPath,subcorpus,DocumentTitle,Readability,ClarityPursuit,SyllogismBased,SourceDB,target_fpath
671918e2c6537d54ff0626de,bad,Duchody,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Duchody.txt
671918e2c6537d54ff0626df,bad,Odpadni-vody,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Odpadni-vody.txt
673b7a37c6537d54ff062b8c,bad,002_Komunalni-odpad,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/002_Komunalni-odpad.txt
673b7a37c6537d54ff062b8f,good,006_Chci ZMĚNIT DŮCHOD - V. 21,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/006_Chci ZMĚNIT DŮCHOD - V. 21.txt
673b7a37c6537d54ff062b8e,bad,004_Nevyplaceni-mzdy,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/004_Nevyplaceni-mzdy.txt
673b7a37c6537d54ff062b90,bad,008_Policie,data/KUKY/TXT,KUKY,,medium,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/008_Policie.txt
673b7a37c6537d54ff062b93,bad,005_Ochrana-spotrebitele,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/005_Ochrana-spotrebitele.txt
673b7a37c6537d54ff062b98,bad,016_Obcane-EU,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/016_Obcane-EU.txt
673b7a37c6537d54ff062b99,good,019_Dětský domov (rodiče) - V. 20,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/019_Dětský domov (rodiče) - V. 20.txt
673b7a37c6537d54ff062b97,good,007_DŮCHODOVÉ pojištění - příspěvkové doby - I. 23,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/007_DŮCHODOVÉ pojištění - příspěvkové doby - I. 23.txt
673b7a37c6537d54ff062ba3,bad,024_Opatrovnictvi,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/024_Opatrovnictvi.txt
673b7a37c6537d54ff062ba9,bad,047_Davky-pro-osoby-se-zdravotnim-postizenim,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/047_Davky-pro-osoby-se-zdravotnim-postizenim.txt
673b7a38c6537d54ff062baf,good,042_BYDLENÍ - X. 23,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/042_BYDLENÍ - X. 23.txt
673b7a38c6537d54ff062bb4,bad,017_Domaci-nasili,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/017_Domaci-nasili.txt
673b7a38c6537d54ff062bb3,bad,043_Plisen-a-zavady-v-byte,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/043_Plisen-a-zavady-v-byte.txt
673b7a38c6537d54ff062bb0,good,040_Hluk - VI. 20,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/040_Hluk - VI. 20.txt
673b7a38c6537d54ff062bb7,bad,035_Hluk,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/035_Hluk.txt
673b7a38c6537d54ff062bb9,bad,033_Davky-pomoci-v-hmotne-nouzi,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/033_Davky-pomoci-v-hmotne-nouzi.txt
673b7a38c6537d54ff062bbb,bad,050_Oddluzeni,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/050_Oddluzeni.txt
673b7a38c6537d54ff062bd5,good,058_DĚTI mezi rodiči - IV. 21,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/058_DĚTI mezi rodiči - IV. 21.txt
66082017c6537d54ff05e159,good,ockovani-1_kusv,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/ockovani-1_kusv.txt
66082017c6537d54ff05e15a,good,stavarska-1_kusv,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/stavarska-1_kusv.txt
66082017c6537d54ff05e15d,good,zaloba-2_kusv,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/zaloba-2_kusv.txt
66082017c6537d54ff05e15e,bad,zaloba-1_orig,data/KUKY/TXT,KUKY,,medium,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/zaloba-1_orig.txt
66082017c6537d54ff05e15f,bad,ockovani-3_orig,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/ockovani-3_orig.txt
66082017c6537d54ff05e160,bad,stavarska-2_orig,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/stavarska-2_orig.txt
6611a64cc6537d54ff05e661,good,Dopis vysvětlující dopis klientovi rev,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Dopis vysvětlující dopis klientovi rev.txt
6611a64cc6537d54ff05e662,bad,Dopis vysvětlující dopis klientovi,data/KUKY/TXT,KUKY,,medium,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Dopis vysvětlující dopis klientovi.txt
6611a64cc6537d54ff05e663,good,Dopis ID_dluh_jinak,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Dopis ID_dluh_jinak.txt
6611a64cc6537d54ff05e664,bad,Rozhodnutí odboj,data/KUKY/TXT,KUKY,,medium,,,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Rozhodnutí odboj.txt
6611a64cc6537d54ff05e665,good,Dopis_studentské_brigády_jinak,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Dopis_studentské_brigády_jinak.txt
6611a64cc6537d54ff05e666,good,Rozhodnutí odboj_jinak_Novák,data/KUKY/TXT,KUKY,,high,,,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Rozhodnutí odboj_jinak_Novák.txt
6611a64cc6537d54ff05e668,bad,Dopis ID_dluh,data/KUKY/TXT,KUKY,,medium,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Dopis ID_dluh.txt
6611a64cc6537d54ff05e667,bad,Dopis_studentské brigády,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Dopis_studentské brigády.txt
66608bb6c6537d54ff05f100,good,UOOUOsobniUdajePotom,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/UOOUOsobniUdajePotom.txt
66608bc0c6537d54ff05f101,bad,UOOUOsobniUdajePuvodne,data/KUKY/TXT,KUKY,,medium,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/UOOUOsobniUdajePuvodne.txt
66ab4dccc6537d54ff05fd18,good,09_Zastoupeni_CD_JSm,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/09_Zastoupeni_CD_JSm.txt
66ab4dccc6537d54ff05fd1b,good,KVOP_zprava_invalidni_duchod_přepis,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/KVOP_zprava_invalidni_duchod_přepis.txt
66ab4dccc6537d54ff05fd1a,good,230711_Insolvence,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/230711_Insolvence.txt
66ab4dccc6537d54ff05fd1d,good,KVOP_19_Stavarska_zprava_JSm,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/KVOP_19_Stavarska_zprava_JSm.txt
66ab4dccc6537d54ff05fd1e,good,MV_Odneti_trvaleho_pobytu_Kru_orig,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/MV_Odneti_trvaleho_pobytu_Kru_orig.txt
66ab4dccc6537d54ff05fd21,bad,KVOP_zprava_invalidní_duchod_puv,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/KVOP_zprava_invalidní_duchod_puv.txt
66ab4dccc6537d54ff05fd20,good,MV_Odneti_trvaleho_pobytu_Kru_po,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/MV_Odneti_trvaleho_pobytu_Kru_po.txt
66ab4dccc6537d54ff05fd1f,good,Ockovani_JSm,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Ockovani_JSm.txt
66abc092c6537d54ff05fd22,good,11_vizum_po,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/11_vizum_po.txt
66abc092c6537d54ff05fd23,good,11_vizum_pred,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/11_vizum_pred.txt
66b36873c6537d54ff0600fb,good,230514_Policejni_zprava_orig,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/230514_Policejni_zprava_orig.txt
6611a60ac6537d54ff05e65a,good,důchod_jinak,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/důchod_jinak.txt
6611a60ac6537d54ff05e65b,bad,důchod_původní,data/KUKY/TXT,KUKY,,medium,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/důchod_původní.txt
6611a60ac6537d54ff05e65e,good,vrátit podporu_jinak,data/KUKY/TXT,KUKY,,high,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/vrátit podporu_jinak.txt
6611a60ac6537d54ff05e65f,bad,vrátit podporu_původní,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/vrátit podporu_původní.txt
66b36e1cc6537d54ff060105,good,důchod-dorovnávací přídavek_1298-23_přepis,data/KUKY/TXT,KUKY,,high,,True,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/důchod-dorovnávací přídavek_1298-23_přepis.txt
66b36e1cc6537d54ff060106,bad,důchod-dorovnávací přídavek_1298-23_původní,data/KUKY/TXT,KUKY,,low,,False,SourceDB,corpora_selected_txt/KUK_1.0/data/KUKY/TXT/důchod-dorovnávací přídavek_1298-23_původní.txt
