Variable,Importance,Sign,p_value,estimate,wilcox_p,wilcox_r,kw_p,kw_chi2,kw_epsilon2,kw_epsilon2_lci,kw_epsilon2_uci,med_sign,mean_sign,selected_pval,wilcox_sel,kw_sel,log_p,log_wilcox_p,log_kw_p,selected_reg
sentlen.m,2.992051290493875,POS,2.327784304454083e-30,-1.3209921714705368,2.1722177546863187e-46,0.5211455755405079,2.1669684075927856e-46,204.50931131180158,0.272,0.218,0.337,-1,-1,TRUE,TRUE,TRUE,68.23263591697062,105.1431656252992,105.14558513414627,TRUE
ari,2.64449317111843,NEG,1.527358761402537e-31,-1.4300307460157664,3.23681971176003e-46,0.5201331283129919,3.2290126976257234e-46,203.71546879000067,0.271,0.212,0.325,-1,-1,TRUE,TRUE,TRUE,70.95659793892044,104.74432300042204,104.74673785358677,TRUE
gf,1.963307661034638,NEG,2.3646181079634848e-32,-1.3808883275005508,2.6874545937798454e-44,0.5087817346740551,2.6811125429202703e-44,194.92071671406913,0.259,0.208,0.316,-1,-1,TRUE,TRUE,TRUE,72.82210644345251,100.32514959376469,100.32751225540169,TRUE
sentcount,1.8574413844402002,POS,1.2306040577016614e-5,0.3362737838691984,5.873765492963825e-7,0.1820457924560406,5.868642550346142e-7,24.954924924864116,0.0332,0.0121,0.0637,1,1,TRUE,TRUE,TRUE,11.305420312315428,14.34759974186548,14.348472295931701,TRUE
atl,1.4056329080982357,POS,1.845390023451193e-21,0.8833349069932477,3.5737867125240525e-25,0.3777314343928791,3.5674981614134456e-25,107.43882050596207,0.143,0.1,0.195,1,1,TRUE,TRUE,TRUE,47.741596302898714,56.291001587420126,56.29276276985357,TRUE
activity,1.3671083446157726,POS,4.067056450889304e-34,1.3183505262222346,6.961473789185072e-47,0.5240235503811238,6.944558886646132e-47,206.77431305959055,0.275,0.221,0.33,1,1,TRUE,TRUE,TRUE,76.88497365474029,106.28110816747026,106.28354091177276,TRUE
VERBfrac.m,1.3243946602213252,NEG,9.63971991113525e-34,1.1800726030935849,7.736861854575131e-41,0.4876620066171791,7.719353155380612e-41,179.07411722151423,0.238,0.183,0.299,1,1,TRUE,TRUE,TRUE,76.02200110845868,92.35999265251468,92.36225824039275,TRUE
smog,1.1721224348237025,POS,9.250326645301287e-33,-1.292904009676303,3.4304806642399124e-43,0.5021247649480478,3.4224898932381807e-43,189.8533475193218,0.252,0.197,0.31,-1,-1,TRUE,TRUE,TRUE,73.76064920489712,97.77845861203724,97.78079067360272,TRUE
hpoint,1.1294902280414658,NEG,1.3465287416181045e-4,-0.29431925316679847,0.004380057016140675,0.10384437032943182,0.004377736387226132,8.120090896584456,0.0108,9.32e-4,0.0282,-1,-1,TRUE,TRUE,TRUE,8.912810393506994,5.4306935372947915,5.431223494753702,TRUE
wordcount,1.049018190845975,NEG,1.6305827077887687e-6,-0.4085414597354059,1.8407490391509737e-4,0.13629659268933467,1.8395164138492793e-4,13.988301167577992,0.0186,0.00386,0.0444,-1,-1,TRUE,TRUE,TRUE,13.326573117588767,8.600167796697422,8.600837653458314,TRUE
ttr,0.8864964417273548,NEG,0.06305560664766303,0.13685997753313864,0.05955080892147067,0.06866672961282604,0.059528041919226705,3.55048517605833,0.00472,5.53e-5,0.021,1,1,FALSE,FALSE,FALSE,2.763738296691819,2.820925399369299,2.8213077846939916,TRUE
fre,0.8064039580003332,NEG,7.943471076802108e-11,0.5620505004769868,3.559464850998442e-14,0.2760965727412108,3.55485068088022e-14,57.400676062020715,0.0763,0.0424,0.113,1,1,TRUE,TRUE,TRUE,23.256085679878304,30.966581091105546,30.967878242108906,TRUE
entropy.v,0.7198641612941841,POS,0.046929654230338506,0.17721699124047002,0.1640912959716716,0.050713118068006914,0.16404027570496793,1.9365807191674862,0.00258,1.25e-5,0.0153,1,1,TRUE,FALSE,FALSE,3.0591055169775427,1.8073323232942073,1.807643297741769,TRUE
entropy,0.6928955507402559,NEG,7.1648094777020384e-9,-0.4577781032587088,7.565231453167644e-11,0.2372073117230586,7.55675761813807e-11,42.36928347736519,0.0563,0.0296,0.0954,-1,-1,TRUE,TRUE,TRUE,18.754084366710387,23.304873080898805,23.30599381123085,TRUE
sentlen.v,0.580405989409562,POS,0.7900415753118364,0.019471267171697892,7.220179581962318e-5,0.14464129851386898,7.215080276382736e-5,15.753592242540996,0.0209,0.00497,0.0489,-1,1,FALSE,TRUE,TRUE,0.23566970792881256,9.53604563952685,9.536752146488517,TRUE
ttr.v,0.5407239142720117,NEG,0.7650884509104008,0.02186014460871428,0.8822093244708098,0.005405717727515317,0.8820764497631218,0.022004003465077235,2.93e-5,1.53e-6,0.00701,1,1,FALSE,FALSE,FALSE,0.2677638297342226,0.12532592180151267,0.12547654899567787,TRUE
predsubjdist.m,0.49274703150336785,NEG,8.78410162713966e-5,-0.7630987372368692,5.169620619286529e-25,0.3764430803091087,5.160554429366918e-25,106.70717271259547,0.142,0.0984,0.19,-1,-1,TRUE,TRUE,TRUE,9.339982010695794,55.92182802020582,55.92358330357802,TRUE
anaphoricrefs,0.4474460669924508,POS,0.6734066350425676,0.03081650823275046,0.009798557635865526,0.09413145051993115,0.00979320978541787,6.672129672670348,0.00887,3.7e-4,0.0286,0,1,FALSE,TRUE,TRUE,0.395405919255638,4.625520084151374,4.6260660124962225,TRUE
cli,0.4302773852051505,NEG,4.337451225839142e-11,0.5444924751645486,8.516071902519176e-12,0.2488900433384833,8.506083022242624e-12,46.64552901579336,0.062,0.0327,0.0979,1,1,TRUE,TRUE,TRUE,23.861149122488058,25.48906592570619,25.490239558711796,TRUE
extrcaseexprs,0.41146144909444915,POS,0.10820134233805037,-0.1229707385869752,0.0013412348977584023,0.11687897214724213,0.0013400684162444213,10.286502680036929,0.0137,0.00258,0.0345,0,-1,FALSE,TRUE,TRUE,2.223761506564914,6.61416452390874,6.615034609423854,TRUE
compoundVERBs,0.40991357495047087,POS,1.8083838282432704e-18,0.7680546306541491,1.8296164601064486e-23,0.36376616485646507,1.8265137800186137e-23,99.64134448886857,0.133,0.0869,0.181,1,1,TRUE,TRUE,TRUE,40.85409814007176,52.35535077861694,52.35704802714413,TRUE
passives,0.40213985547522957,NEG,1.5954837360246909e-19,-0.8476547672309608,1.8727386679880347e-27,0.39561146783037804,1.869289888026813e-27,117.8508504096157,0.157,0.109,0.21,-1,-1,TRUE,TRUE,TRUE,43.281939793856886,61.5423956230126,61.54423889111495,TRUE
mattr,0.34743055523234007,NEG,1.874483026170515e-13,-0.602638981339354,1.7044609969860605e-16,0.3003333321324543,1.7020636692170177e-16,67.9206831235067,0.0903,0.0553,0.137,-1,-1,TRUE,TRUE,TRUE,29.305273306893522,36.30811255794909,36.309520049982595,TRUE
caserepcount.v,0.33929398639534997,NEG,0.004539588487762489,-0.21523388376237465,9.434644631274934e-4,0.12051498511478813,9.428975557492954e-4,10.936467812825086,0.0145,0.00234,0.0382,-1,-1,TRUE,TRUE,TRUE,5.394918912499072,6.965951858806724,6.966552917765283,TRUE
predobjdist.m,0.3214631774626864,NEG,1.13200937224335e-4,-0.7078676711401569,1.0733632418118756e-18,0.32168689978782045,1.0717491521405262e-18,77.92229350580966,0.104,0.0661,0.152,-1,-1,TRUE,TRUE,TRUE,9.086346112862548,41.375734738350715,41.37723963849537,TRUE
literary,0.3140021041687713,NEG,7.003819073792585e-21,-0.9181233641412776,1.4440155244526537e-26,0.3887528391603134,1.4414014777385578e-26,113.79996377626911,0.151,0.106,0.202,-1,-1,TRUE,TRUE,TRUE,46.40783137062501,59.499784626426354,59.50159652912691,TRUE
verbdist,0.30767958006553053,POS,1.5496421649189107e-23,-1.378202924671923,1.7051634941602804e-46,0.5217591570837858,1.7010380236004195e-46,204.9911613545898,0.273,0.215,0.334,-1,-1,TRUE,TRUE,TRUE,52.521433095927115,105.38525328058478,105.38767561088765,TRUE
caserepcount.m,0.3074475227877038,POS,0.06589340618443659,-0.1369177953423868,0.0760649018191079,0.06465390388034639,0.07603705473353221,3.1476358470878747,0.00419,2.67e-5,0.0178,-1,-1,FALSE,FALSE,FALSE,2.719716900379094,2.5761683318177906,2.5765344952323574,TRUE
