Variable	kw_chi2	kw_p	kw_epsilon2_lci	kw_epsilon2	kw_epsilon2_uci	mean_sign
activity	206.77	< .0001	0.221	0.275	0.33	+
verbdist	204.99	< .0001	0.215	0.273	0.334	-
sentlen.m	204.51	< .0001	0.218	0.272	0.337	-
ari	203.72	< .0001	0.212	0.271	0.325	-
gf	194.92	< .0001	0.208	0.259	0.316	-
smog	189.85	< .0001	0.197	0.252	0.31	-
NOUNcount.m	185.28	< .0001	0.194	0.246	0.306	-
VERBfrac.m	179.07	< .0001	0.183	0.238	0.299	+
fkgl	173.32	< .0001	0.182	0.23	0.291	-
predorder.m	153.18	< .0001	0.156	0.204	0.262	-
mamr	148.98	< .0001	0.149	0.198	0.253	+
passives	117.85	< .0001	0.109	0.157	0.21	-
predorder.v	115.02	< .0001	0.109	0.153	0.209	-
literary	113.8	< .0001	0.106	0.151	0.202	-
atl	107.44	< .0001	0.1	0.143	0.195	+
predsubjdist.m	106.71	< .0001	0.098	0.142	0.19	-
compoundVERBs	99.64	< .0001	0.087	0.133	0.181	+
NOUNcount.v	94.73	< .0001	0.085	0.126	0.175	-
predsubjdist.v	83.63	< .0001	0.072	0.111	0.164	-
subj	81.05	< .0001	0.068	0.108	0.156	+
maentropy	79.73	< .0001	0.065	0.106	0.152	-
predobjdist.m	77.92	< .0001	0.066	0.104	0.152	-
VERBcomp	68.36	< .0001	0.056	0.091	0.131	+
mattr	67.92	< .0001	0.055	0.09	0.137	-
NEGcount.m	60.93	< .0001	0.046	0.081	0.122	-
fre	57.4	< .0001	0.042	0.076	0.113	+
predobjdist.v	55.67	< .0001	0.04	0.074	0.115	-
compoundVERBsdist.m	50.69	< .0001	0.039	0.067	0.11	-
compoundVERBsdist.v	48.55	< .0001	0.035	0.065	0.104	-
cli	46.65	< .0001	0.033	0.062	0.098	+
NEGfrac.m	42.93	< .0001	0.031	0.057	0.094	+
entropy	42.37	< .0001	0.03	0.056	0.095	-
NEGcount.v	35.45	< .0001	0.024	0.047	0.08	-
VERBfrac.v	28.79	< .0001	0.016	0.038	0.072	-
NOUNfrac.v	27.08	< .0001	0.015	0.036	0.069	+
sentcount	24.95	< .0001	0.012	0.033	0.064	+
relativisticexprs	18.41	< .0001	0.008	0.024	0.049	-
sentlen.v	15.75	< .0001	0.005	0.021	0.049	+
wordcount	13.99	< .001	0.004	0.019	0.044	-
verbalNOUNs	12.75	< .001	0.003	0.017	0.041	+
caserepcount.v	10.94	< .001	0.002	0.015	0.038	-
obj	10.78	< .01	0.003	0.014	0.036	-
redundexprs	10.36	< .01	0.004	0.014	0.028	-
extrcaseexprs	10.29	< .01	0.003	0.014	0.034	-
hapaxes	8.53	< .01	0.001	0.011	0.032	+
hpoint	8.12	< .01	0.001	0.011	0.028	-
abstractNOUNs	7.44	< .01	0.001	0.01	0.028	+
anaphoricrefs	6.67	< .01	0	0.009	0.029	+
VERBcompdist.m	5.67	< .05	0	0.008	0.025	-
