Source,Target,Weight
RuleAbstractNouns,atl,0.26932179889457974
RuleAbstractNouns,cli,0.2606191560207871
RuleCaseRepetition,RuleCaseRepetition.max_repetition_frac,0.27819141577223877
RuleCaseRepetition,RuleCaseRepetition.max_repetition_frac.v,0.28551960100908086
RuleCaseRepetition,RuleGPwordorder,0.2957625521109001
RuleCaseRepetition,RuleInfVerbDistance,0.27197820730931976
RuleCaseRepetition,RuleLiteraryStyle,0.4087129790948845
RuleCaseRepetition,RuleLongSentences.max_length,0.9150522658009638
RuleCaseRepetition,RuleMultiPartVerbs,0.48903240920166374
RuleCaseRepetition,RuleMultiPartVerbs.max_distance.v,0.4069170246463083
RuleCaseRepetition,RulePassive,0.4154062233706997
RuleCaseRepetition,RulePredAtClauseBeginning,0.6449958647560303
RuleCaseRepetition,RulePredAtClauseBeginning.max_order,0.5682429571105315
RuleCaseRepetition,RulePredAtClauseBeginning.max_order.v,0.49440883850162237
RuleCaseRepetition,RulePredObjDistance,0.5039777215661125
RuleCaseRepetition,RulePredObjDistance.max_distance,0.25262588936456754
RuleCaseRepetition,RulePredObjDistance.max_distance.v,0.38911084179551503
RuleCaseRepetition,RulePredSubjDistance,0.4198139230231725
RuleCaseRepetition,RulePredSubjDistance.max_distance,0.31033542296896904
RuleCaseRepetition,RulePredSubjDistance.max_distance.v,0.5026992851080825
RuleCaseRepetition,RuleTooFewVerbs,0.3035368108792556
RuleCaseRepetition,RuleTooFewVerbs.min_verb_frac,0.7657798009706952
RuleCaseRepetition,RuleTooManyNegations,0.6845092798809165
RuleCaseRepetition,RuleTooManyNegations.max_allowable_negations,0.43052988133406356
RuleCaseRepetition,RuleTooManyNegations.max_negation_frac,0.3911619379229174
RuleCaseRepetition,RuleTooManyNominalConstructions,0.6470218700356106
RuleCaseRepetition,RuleTooManyNominalConstructions.max_allowable_nouns,0.6527377432693302
RuleCaseRepetition,RuleTooManyNominalConstructions.max_allowable_nouns.v,0.36692335689102956
RuleCaseRepetition,RuleTooManyNominalConstructions.max_noun_frac.v,0.2533982253069615
RuleCaseRepetition,activity,0.6602890467945515
RuleCaseRepetition,ari,0.9635971610267905
RuleCaseRepetition,atl,0.5194473080428446
RuleCaseRepetition,cli,0.2874712689606623
RuleCaseRepetition,fkgl,0.9464259364508575
RuleCaseRepetition,fre,0.6975643703067386
RuleCaseRepetition,gf,0.9418372768991892
RuleCaseRepetition,mamr,0.5983599086697847
RuleCaseRepetition,sent_count,0.2900730047091725
RuleCaseRepetition,smog,0.9203563690616653
RuleCaseRepetition,verb_dist,0.5458557597070669
RuleCaseRepetition,word_count,0.2596896757057877
RuleCaseRepetition.max_repetition_count,RuleCaseRepetition.max_repetition_count.v,0.611329414101577
RuleCaseRepetition.max_repetition_count,RuleCaseRepetition.max_repetition_frac,0.8164365902066255
RuleCaseRepetition.max_repetition_count,RuleCaseRepetition.max_repetition_frac.v,0.7979314228933025
RuleCaseRepetition.max_repetition_count,RuleDoubleAdpos,0.2561604669258132
RuleCaseRepetition.max_repetition_count,activity,0.36353241974454564
RuleCaseRepetition.max_repetition_count,atl,0.3408966849985939
RuleCaseRepetition.max_repetition_count,cli,0.42180217172070356
RuleCaseRepetition.max_repetition_count,fre,0.3621214113884091
RuleCaseRepetition.max_repetition_count.v,RuleCaseRepetition.max_repetition_count,0.611329414101577
RuleCaseRepetition.max_repetition_count.v,RuleCaseRepetition.max_repetition_frac,0.48474618504441774
RuleCaseRepetition.max_repetition_count.v,RuleCaseRepetition.max_repetition_frac.v,0.49479680352072153
RuleCaseRepetition.max_repetition_count.v,RuleDoubleAdpos,0.27611381774478916
RuleCaseRepetition.max_repetition_count.v,RuleTooManyNominalConstructions.max_noun_frac,0.2830841686980425
RuleCaseRepetition.max_repetition_count.v,atl,0.26016399882066576
RuleCaseRepetition.max_repetition_count.v,cli,0.32733302773882683
RuleCaseRepetition.max_repetition_count.v,entropy,0.25506813165760645
