fpath,KUK_ID,FileName,FileFormat,FolderPath,subcorpus,SourceDB,SourceID,DocumentTitle,ClarityPursuit,Readability,SyllogismBased,DocumentVersion,ParentDocumentID,LegalActType,Objectivity,Bindingness,AuthorType,RecipientType,RecipientIndividuation,Anonymized,Recipient Type,class,RuleAbstractNouns,RuleAmbiguousRegards,RuleAnaphoricReferences,RuleCaseRepetition,RuleCaseRepetition.max_repetition_count,RuleCaseRepetition.max_repetition_count.v,RuleCaseRepetition.max_repetition_frac,RuleCaseRepetition.max_repetition_frac.v,RuleConfirmationExpressions,RuleDoubleAdpos,RuleDoubleAdpos.max_allowable_distance,RuleDoubleAdpos.max_allowable_distance.v,RuleDoubleComparison,RuleFunctionWordRepetition,RuleGPadjective,RuleGPcoordovs,RuleGPdeverbaddr,RuleGPdeverbsubj,RuleGPpatbenperson,RuleGPpatinstr,RuleGPwordorder,RuleIncompleteConstruction,RuleInfVerbDistance,RuleInfVerbDistance.max_distance,RuleInfVerbDistance.max_distance.v,RuleLiteraryStyle,RuleLongSentences,RuleLongSentences.max_length,RuleLongSentences.max_length.v,RuleMultiPartVerbs,RuleMultiPartVerbs.max_distance,RuleMultiPartVerbs.max_distance.v,RulePassive,RulePredAtClauseBeginning,RulePredAtClauseBeginning.max_order,RulePredAtClauseBeginning.max_order.v,RulePredObjDistance,RulePredObjDistance.max_distance,RulePredObjDistance.max_distance.v,RulePredSubjDistance,RulePredSubjDistance.max_distance,RulePredSubjDistance.max_distance.v,RuleRedundantExpressions,RuleReflexivePassWithAnimSubj,RuleRelativisticExpressions,RuleTooFewVerbs,RuleTooFewVerbs.min_verb_frac,RuleTooFewVerbs.min_verb_frac.v,RuleTooLongExpressions,RuleTooManyNegations,RuleTooManyNegations.max_allowable_negations,RuleTooManyNegations.max_allowable_negations.v,RuleTooManyNegations.max_negation_frac,RuleTooManyNegations.max_negation_frac.v,RuleTooManyNominalConstructions,RuleTooManyNominalConstructions.max_allowable_nouns,RuleTooManyNominalConstructions.max_allowable_nouns.v,RuleTooManyNominalConstructions.max_noun_frac,RuleTooManyNominalConstructions.max_noun_frac.v,RuleVerbalNouns,RuleWeakMeaningWords,RuleWrongValencyCase,RuleWrongVerbonominalCase,activity,ari,atl,char_count,cli,entropy,fkgl,fre,gf,hpoint,maentropy,maentropy.v,mamr,mattr,mattr.v,num_hapax,sent_count,smog,syllab_count,ttr,verb_dist,word_count
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Duchody.txt,671918e2c6537d54ff0626de,Duchody,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,7.0,,,369,1.4878048780487805,0.5927358920503981,0.9988256549232158,0.013310640225834594,,8.0,4.0,0.2672612419124244,,,,,,1.0,,,1.0,,41.0,1.829268292682927,0.7221634164093331,10.0,134,8.805970149253731,0.7423079087979852,28.0,2.107142857142857,0.5825148268207525,,129,2.488372093023256,0.7281561829457761,76.0,1.8289473684210527,0.6822531430032365,72,1.8194444444444444,0.627857734335987,1.0,4.0,,96,0.24736177736329168,0.5738328740620223,4.0,32.0,1.28125,0.5688733555946635,0.10466104564785621,0.5488408164971136,138,3.2318840579710146,0.7006994004907972,0.31346147747358194,0.35798989441519014,117,3.0,,,0.41627906976744183,8.598902420602421,5.586609336609337,9095.0,10.985442260442264,8.078382605334983,10.27559614159614,47.89815930475933,12.489551369551371,15.0,5.980510276967717,0.02433976498689748,0.09073904512753439,0.7220928711576193,0.07694218621437829,265.0,135.0,11.813810549772704,3636.0,0.31388206388206386,10.662921348314606,1628.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/Odpadni-vody.txt,671918e2c6537d54ff0626df,Odpadni-vody,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,2.0,,,401,1.4613466334164589,0.5139670407263928,0.9988718679491747,0.013061167074222932,,18.0,2.7222222222222223,0.4329225190938045,,,,,,,,2.0,3.0,,16.0,2.125,0.7660621456988098,6.0,88,12.818181818181818,0.7249753964459458,22.0,2.090909090909091,0.7797278469747737,,109,3.146788990825688,0.8571077813866311,71.0,2.1690140845070425,1.0454971816286664,95,2.4,1.3877950775618728,,2.0,,72,0.20028535097919897,0.4974300938526865,1.0,13.0,1.4615384615384615,0.6000923289995463,0.11111661386429189,0.8334938781719388,131,3.572519083969466,0.6458415413622496,0.3701703296354853,0.4104854333014366,90,2.0,,,0.34430379746835443,12.099475524780075,5.623385012919897,8705.0,11.885594315245475,7.9430900677385345,12.787753425950118,40.76022901605552,13.7273292105798,15.0,5.954829967329721,0.028958783515468836,0.10594202898550731,0.7152035886818495,0.08730821769470098,226.0,89.0,12.930781316448392,3413.0,0.2971576227390181,12.42962962962963,1548.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/002_Komunalni-odpad.txt,673b7a37c6537d54ff062b8c,002_Komunalni-odpad,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,5.0,,,330,1.4424242424242424,0.5424320043395306,0.9990620490620491,0.012076956498727257,,14.0,6.428571428571429,0.920712387797967,,,,,,1.0,1.0,,2.0,,19.0,2.263157894736842,1.0080500453532368,16.0,68,15.485294117647058,0.7039252617615649,14.0,1.8571428571428572,0.5530566364756413,,98,2.520408163265306,0.7541573669860674,64.0,2.34375,0.8369862793057196,79,1.8734177215189873,0.7989268264959469,,2.0,,60,0.17982349350344431,0.4331533641466615,1.0,23.0,1.0434782608695652,0.1998263134713633,0.07865762691343406,0.36245754613262227,111,4.216216216216216,0.9002631954327269,0.36269824671810624,0.34129964983979355,85,1.0,,,0.35964912280701755,14.933347991984128,5.712319339298004,8300.0,12.609428768066065,8.107034314913955,16.365837860815347,23.825004372292625,16.888421521395895,15.0,5.903208832688859,0.03856074454727067,0.10858197932053182,0.6896454948301329,0.12246628035567565,272.0,68.0,15.188113842472408,3444.0,0.34686854783207155,13.5,1453.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/006_Chci ZMĚNIT DŮCHOD - V. 21.txt,673b7a37c6537d54ff062b8f,006_Chci ZMĚNIT DŮCHOD - V. 21,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Redesign,,normative,quasiobjective,False,authority,natural person,public,No,,good,3.0,,,134,1.208955223880597,0.36676983753764586,1.0,-1.0,,6.0,4.833333333333333,0.6195391636269162,,,,,,,1.0,,,,24.0,1.75,0.6998542122237651,,68,8.647058823529411,0.8845271118828794,10.0,2.0,0.4714045207910317,,68,2.2058823529411766,0.6145262031798915,49.0,1.489795918367347,0.5148996614388542,22,1.6363636363636365,0.582671582316751,,,,50,0.2738223836261141,0.5021292202009383,,17.0,1.4705882352941178,0.42449970553582245,0.15138276755923813,0.43321566588526056,64,2.0625,0.603940495678076,0.2935710340007215,0.36330823435927395,33,1.0,,,0.6976744186046512,7.89729419354839,5.763440860215054,4288.0,11.305107526881722,7.364019513926971,9.204170161290321,51.195937419354834,9.559397849462366,10.666666666666666,5.881512927366518,0.02282593848340329,0.07589147286821707,0.6914883720930233,0.07215878616295311,147.0,75.0,9.856247865180311,1665.0,0.3709677419354839,9.0,744.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/004_Nevyplaceni-mzdy.txt,673b7a37c6537d54ff062b8e,004_Nevyplaceni-mzdy,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,6.0,1.0,2.0,400,1.4,0.5562796842466196,0.9986011904761906,0.01405982369256588,,13.0,2.6923076923076925,0.1784285142399542,,,,,3.0,,,,,,21.0,2.142857142857143,0.44969125210773475,12.0,91,14.945054945054945,0.7221348947588488,28.0,1.7142857142857142,0.523127662660205,,110,3.081818181818182,1.1378233849171366,52.0,2.1153846153846154,0.9391949648396919,86,2.5,1.2450372070981752,1.0,2.0,,61,0.19638363436739317,0.4017066067825469,5.0,24.0,1.25,0.42528762645695606,0.08936851028085548,0.4121896128670101,131,3.33587786259542,0.6922359581502315,0.3588169065380561,0.38596615828872477,75,,,,0.33080808080808083,14.337505452170284,5.790864061640066,10522.0,12.88470005503577,8.155260752994641,14.196054170925386,35.98072076904933,16.22016486540427,17.0,5.871905984721833,0.04185043322272541,0.09278230500582074,0.684918509895227,0.1327945777291751,305.0,91.0,14.710472776342854,4020.0,0.3082003302146395,13.13076923076923,1817.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/008_Policie.txt,673b7a37c6537d54ff062b90,008_Policie,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,medium,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,1.0,,1.0,340,1.3647058823529412,0.45858690315409995,1.0,-1.0,,4.0,7.25,0.7913523897957934,,,,,5.0,,,,,,22.0,1.9090909090909092,0.5807999502638935,12.0,88,11.988636363636363,0.8919901397463023,10.0,2.3,0.6165810836574681,,81,2.2839506172839505,0.5098253041578837,40.0,1.875,0.7365121468449399,63,2.0634920634920637,0.6208119848385525,,,,57,0.21544974694007785,0.5765187660397457,8.0,26.0,1.1923076923076923,0.3370929155513066,0.10116192568115645,0.5140769148507252,102,3.7745098039215685,0.719936083535992,0.3692435564048698,0.39114746041042237,103,,,,0.3560371517027864,11.783597334100499,5.749648382559775,8176.0,12.3534458509142,8.089095099100172,12.864052870476918,37.9349606188467,14.339867024677154,15.0,6.04149814345042,0.025114945022238145,0.07191232048374907,0.7478231292517007,0.06319712077191629,255.0,88.0,13.319297830178854,3247.0,0.3368495077355837,14.324561403508772,1422.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/005_Ochrana-spotrebitele.txt,673b7a37c6537d54ff062b93,005_Ochrana-spotrebitele,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,10.0,,,747,1.3413654618473896,0.48208899710475467,1.0,-1.0,,30.0,4.233333333333333,0.9643992938938883,,,,2.0,1.0,1.0,1.0,,4.0,,72.0,1.7638888888888888,0.7641367302111398,22.0,235,12.85531914893617,1.1787507898151603,55.0,1.8545454545454545,0.5998905829101268,1.0,247,2.5587044534412957,0.8154297167618981,174.0,2.0172413793103448,0.9421956989247475,167,1.9520958083832336,0.7327222648260197,,4.0,,161,0.22719932040594107,0.5214066858369812,14.0,57.0,1.368421052631579,0.4908288227280724,0.1095824396154362,0.6693773330376586,273,3.1758241758241756,0.8294868984768806,0.34004083736169416,0.36725641838977446,188,1.0,,,0.3612565445026178,13.15128959673303,5.90684022460439,23143.0,13.21972945380296,9.058242611261514,13.741494078611534,34.3044038591118,15.336951505870344,23.0,5.9995467246613305,0.028110845157022207,0.08681068342498033,0.733770620581304,0.08269552164108825,641.0,225.0,14.034977192291013,9043.0,0.29683511995916284,13.645348837209303,3918.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/016_Obcane-EU.txt,673b7a37c6537d54ff062b98,016_Obcane-EU,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,normative,quasiobjective,False,authority,natural person,public,No,,bad,,,,61,1.4426229508196722,0.4823235628535544,1.0,-1.0,,1.0,5.0,,,,,,,,,,,,4.0,1.5,0.6666666666666666,,22,10.272727272727273,0.8000154763204737,1.0,4.0,,,24,2.7083333333333335,0.4805450982568738,12.0,1.5,0.778498944161523,14,2.0,0.4803844614152614,,,,20,0.2186940836940837,0.5239062911460629,,2.0,1.5,0.47140452079103173,0.14545454545454545,0.5303300858899107,28,2.4642857142857144,0.6196895877029018,0.31157057228485796,0.5501950918502271,6,,,,0.44285714285714284,9.628691919191919,5.619528619528619,1669.0,11.39326599326599,7.1694267187026295,10.707299663299658,47.65074410774412,11.325925925925926,6.0,6.107314903286115,0.011117075542314458,0.09045454545454534,0.7702525252525253,0.03457103105428513,114.0,22.0,11.20814326018867,653.0,0.5959595959595959,9.633333333333333,297.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/019_Dětský domov (rodiče) - V. 20.txt,673b7a37c6537d54ff062b99,019_Dětský domov (rodiče) - V. 20,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Redesign,,normative,quasiobjective,False,authority,natural person,public,No,,good,,1.0,,222,1.2657657657657657,0.429509730078501,1.0,-1.0,,2.0,2.0,-1.0,,,,,,,,,,,32.0,1.71875,0.5575587570190778,5.0,87,8.137931034482758,0.7279829304299112,15.0,2.2666666666666666,0.38987430956847213,,94,2.1808510638297873,0.5377880330367577,80.0,1.6125,0.620105973920121,47,1.6382978723404256,0.5752146021222432,,,,69,0.2729737366214348,0.3849839018243967,,24.0,1.375,0.5170468118819868,0.13964586271571566,0.5360839729138538,112,2.044642857142857,0.606646181827689,0.3609568754658041,0.5079396873541853,47,,,,0.672566371681416,6.8730409845582265,5.4287317620650954,4837.0,9.822446689113358,7.385411308036212,9.45357896977437,50.098327373350344,10.740771701691243,12.0,5.810390152153724,0.0249169650637929,0.1287247474747475,0.6638762626262626,0.07772744802624183,194.0,87.0,10.580127515348655,2002.0,0.3569023569023569,10.397350993377483,891.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/007_DŮCHODOVÉ pojištění - příspěvkové doby - I. 23.txt,673b7a37c6537d54ff062b97,007_DŮCHODOVÉ pojištění - příspěvkové doby - I. 23,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Redesign,,normative,quasiobjective,False,authority,natural person,public,No,,good,4.0,1.0,,270,1.374074074074074,0.5082896653578646,0.9994708994708994,0.008698611289123862,,6.0,2.8333333333333335,0.4126041862764749,,,,,,1.0,,,1.0,,16.0,1.6875,0.5174592354540142,,93,10.688172043010752,0.9112949197446892,17.0,1.8823529411764706,0.5597807536772768,,111,2.5675675675675675,0.8655236572207392,58.0,1.7758620689655173,0.8506853746595672,46,2.1956521739130435,0.6194324720908083,,18.0,,71,0.2081958050181651,0.36879984749106914,,14.0,1.1428571428571428,0.3177444546511213,0.10264781167036806,0.5349302363881198,135,2.2074074074074073,0.755003505362077,0.3010301719179715,0.43089269739682257,75,1.0,,,0.5067114093959731,10.815732291524498,6.085073472544471,7868.0,13.443696829079661,7.514674368908034,11.876395796369593,38.15260938992765,12.618925435603478,15.0,5.7905742734689865,0.03176202489169317,0.08946398659966492,0.652747068676717,0.1022784386216421,197.0,102.0,11.964775612504784,3069.0,0.288476411446249,14.04,1293.0
